 83|204.250000|-29.866667| 7.60|15000000.0|Hya| Southern Pinwheel 
 84|186.254167| 12.883333| 9.10|60000000.0|Vir|   
 85|186.266667| 18.183333| 9.10|65000000.0|Com|   
 86|186.508333| 12.950000| 8.90|60000000.0|Vir|   
 87|187.533333| 12.400000| 8.60|60000000.0|Vir| Virgo A 
 88|188.000000| 14.416667| 9.60|60000000.0|Com|   
 89|188.779167| 12.550000| 9.80|60000000.0|Vir|   
 90|189.033333| 13.166667| 9.50|60000000.0|Vir|   
 91|188.766667| 14.500000|10.20|60000000.0|Com|   
 92|259.254167| 43.133333| 6.40|   26400.0|Her|   
 93|116.025000|-23.866667| 6.00|    3600.0|Pup|   
 94|192.537500| 41.116667| 8.20|14500000.0|CVn|   
 95|161.000000| 11.700000| 9.70|38000000.0|Leo|   
 96|161.533333| 11.816667| 9.20|38000000.0|Leo|   
 97|168.533333| 55.016667| 9.90|    2600.0|UMa| Owl Nebula 
 98|183.283333| 14.900000|10.10|60000000.0|Com|   
 99|184.533333| 14.416667| 9.90|60000000.0|Com|   
100|185.537500| 15.816667| 9.30|60000000.0|Com|   
101|210.758333| 54.350000| 7.90|27000000.0|UMa| Pinwheel Galaxy 
102|226.520833| 55.766667| 9.90|40000000.0|Dra| Spindle Galaxy 
103| 23.258333| 60.700000| 7.40|    8000.0|Cas|   
104|190.000000|-11.616667| 8.00|50000000.0|Vir| Sombrero Galaxy 
105|161.783333| 12.583333| 9.30|38000000.0|Leo|   
106|184.750000| 47.300000| 8.40|25000000.0|CVn|   
107|248.020833|-13.050000| 7.90|   19600.0|Oph|   
108|167.770833| 55.666667|10.00|45000000.0|UMa|   
109|179.275000| 53.383333| 9.80|55000000.0|UMa|   
110| 10.016667| 41.683333| 8.50| 2900000.0|And|   
